cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_h,effect_value
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,176.44555767300469
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,131.3332804191922
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,147.7526366166581
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,111.10490174219782
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,141.03426087198935
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,125.70376106777495
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,132.48349845990913
94757,"2,4-D",NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,161.68085493062443
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,21.83710817450721
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,15.933709534436574
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,22.444789374816846
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,19.184964620489236
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,10.879982093720725
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,18.233778151130014
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,13.827459081234402
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,24.91119776322778
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,80.0447233949734
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,105.5222731999416
