aeid,assay_component_endpoint_name,tissue,cell_format,cell_short_name,assay_source_desc,assay_component_desc,assay_component_target_desc,assay_component_endpoint_desc
314,BSK_SAg_PBMCCytotoxicity,vascular,primary cell co-culture,umbilical vein endothelium and peripheral blood mononuclear cells,Bioseek is a division of DiscoveRx Corporation and developed the BioMAP system providing uniquely informative biological activity profiles in complex human primary cell systems.,BSK_SAg_PBMCCytotoxicity is an assay component measured in the BSK_SAg assay. It measures Alamar blue related to cell death using Alamar Blue Reduction technology.,Changes to fluorescence intensity signals produced from an enzymatic reaction involving the key substrate [Alamar blue] are correlated to the viability of the cells in the system.,"Data from the assay component BSK_SAg_PBMCCytotoxicity was analyzed into 1 assay endpoint. This assay endpoint, BSK_SAg_PBMCCytotoxicity, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, gain or loss-of-signal activity can be used to understand changes in the viability. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity."
763,TOX21_AR_BLA_Antagonist_viability,kidney,cell line,HEK293T,"Tox21 is an interagency agreement between the NIH, NTP, FDA and EPA. NIH Chemical Genomics Center (NCGC) is the primary screening facility running ultra high-throughput screening assays across a large interagency-developed chemical library.",TOX21_AR_BLA_Antagonist_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,"TOX21_AR_BLA_Antagonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity."
766,TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability,breast,cell line,MDA-kb2,"Tox21 is an interagency agreement between the NIH, NTP, FDA and EPA. NIH Chemical Genomics Center (NCGC) is the primary screening facility running ultra high-throughput screening assays across a large interagency-developed chemical library.",TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,"TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity."
768,TOX21_Aromatase_Inhibition_viability,breast,cell line,MCF7,"Tox21 is an interagency agreement between the NIH, NTP, FDA and EPA. NIH Chemical Genomics Center (NCGC) is the primary screening facility running ultra high-throughput screening assays across a large interagency-developed chemical library.",TOX21_Aromatase_Inhibition_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,"TOX21_Aromatase_Inhibition_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity."
782,TOX21_ELG1_LUC_Agonist_viability,kidney,cell line,HEK293T,"Tox21 is an interagency agreement between the NIH, NTP, FDA and EPA. NIH Chemical Genomics Center (NCGC) is the primary screening facility running ultra high-throughput screening assays across a large interagency-developed chemical library.",TOX21_ELG1_LUC_Agonist_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,"TOX21_ELG1_LUC_Agonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity."
795,TOX21_GR_BLA_Antagonist_viability,cervix,cell line,HeLa,"Tox21 is an interagency agreement between the NIH, NTP, FDA and EPA. NIH Chemical Genomics Center (NCGC) is the primary screening facility running ultra high-throughput screening assays across a large interagency-developed chemical library.",TOX21_GR_BLA_Antagonist_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,"TOX21_GR_BLA_Antagonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity."
799,TOX21_MMP_viability,liver,cell line,HepG2,"Tox21 is an interagency agreement between the NIH, NTP, FDA and EPA. NIH Chemical Genomics Center (NCGC) is the primary screening facility running ultra high-throughput screening assays across a large interagency-developed chemical library.",TOX21_MMP_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,"TOX21_MMP_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity."
807,TOX21_AhR_LUC_Agonist_viability,liver,cell line,HepG2,"Tox21 is an interagency agreement between the NIH, NTP, FDA and EPA. NIH Chemical Genomics Center (NCGC) is the primary screening facility running ultra high-throughput screening assays across a large interagency-developed chemical library.",TOX21_AhR_LUC_Agonist_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,"TOX21_AhR_LUC_Agonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity."
1121,TOX21_FXR_BLA_Antagonist_viability,kidney,cell line,HEK293T,"Tox21 is an interagency agreement between the NIH, NTP, FDA and EPA. NIH Chemical Genomics Center (NCGC) is the primary screening facility running ultra high-throughput screening assays across a large interagency-developed chemical library.",TOX21_FXR_BLA_Antagonist_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,"TOX21_FXR_BLA_Antagonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity."
1126,TOX21_PPARd_BLA_Antagonist_viability,kidney,cell line,HEK293T,"Tox21 is an interagency agreement between the NIH, NTP, FDA and EPA. NIH Chemical Genomics Center (NCGC) is the primary screening facility running ultra high-throughput screening assays across a large interagency-developed chemical library.",TOX21_PPARd_BLA_Antagonist_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,"TOX21_PPARd_BLA_Antagonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity."
