x,y,orth.reg.n.observations,orth.reg.slope,orth.reg.intercept,orth.reg.ssq,orth.reg.mse,orth.reg.r.squared,deming.reg.slope,deming.reg.slope.lower.ci,deming.reg.slope.upper.ci,deming.reg.intercept,deming.reg.intercept.lower.ci,deming.reg.intercept.upper.ci,reg.n.observations,reg.slope,reg.intercept,reg.r.squared,reg.r.pearson,reg.r.pvalue,reg.df
Caenorhabditis elegans:EC10:2:Growth,Rat:LD50:NA:Mortality,14,14.1752351724511,-12.6085761841084,6.00725976585412,86.6492693303078,0.40369320953208,14.1752337527557,-602.678361957727,631.028829463239,-12.6085746704372,-647.717246948557,622.500097607683,14,0.094,2.404,0.004,0.062,0.834,12
Caenorhabditis elegans:EC10:2:Growth,Daphnia magna:NOEC:21:Population,5,2.27707238281172,-3.13574776927069,0.085229469902531,0.105429853782082,0.992877941414166,2.27708055008575,1.72463656162713,2.82952453854437,-3.13575600000104,-4.13436735519466,-2.13714464480743,5,2.228,-3.086,0.974,0.987,0.002,3
Caenorhabditis elegans:EC10:2:Growth,Daphnia magna:NOEC:21:Reproduction,7,9.50289631070729,-7.12227156469141,0.763202547775144,9.9548911213147,0.849397336970943,9.50288853390593,-331.375113919429,350.38089098724,-7.1222674851,-164.589236014908,150.344701044708,7,1.045,-2.685,0.101,0.318,0.488,5
Caenorhabditis elegans:EC10:2:Growth,Daphnia magna:EC50:2:Intoxication,15,3.42298598841305,-4.17168323180137,3.65904305865013,3.1020959865294,0.823204539178482,3.4229918241357,1.45370183454613,5.39228181372526,-4.17168936434059,-6.56911699576047,-1.77426173292071,15,1.447,-2.095,0.379,0.615,0.015,13
Caenorhabditis elegans:EC10:2:Growth,Daphnia magna:EC50:1:Intoxication,9,3.68041346457437,-4.16426700260324,2.11524323877327,3.41857228136597,0.830184720341785,3.68042641213856,-5.83290254573413,13.1937553700112,-4.16427911626775,-11.9556874197584,3.62712918722287,9,1.479,-2.105,0.362,0.602,0.086,7
Caenorhabditis elegans:EC10:2:Growth,Daphnia magna:LC50:2:Mortality,16,2.36922909777484,-2.73188959396476,3.45558421522557,1.42828939238176,0.794557032205251,2.36924081727717,1.17253386355108,3.56594777100325,-2.73190064507209,-4.16830361882282,-1.29549767132136,16,1.277,-1.702,0.468,0.684,0.003,14
Caenorhabditis elegans:EC10:2:Growth,Ceriodaphnia dubia:NOEC:7:Mortality,5,2.65892401452135,-4.34961225536627,0.0868320997962986,0.140144871525396,0.988708845121633,2.65892916222674,0.791952431423006,4.52590589303048,-4.34961670700381,-5.89009794481835,-2.80913546918927,5,2.542,-4.248,0.95,0.975,0.005,3
Caenorhabditis elegans:EC10:2:Growth,Poecilia reticulata:LC50:4:Mortality,11,2.21843032238829,-2.48704073416313,1.76365289165408,0.949395691022509,0.785127453118382,2.21844430332502,-0.220573269921886,4.65746187657193,-2.48705782194056,-5.86446807232598,0.890352428444851,11,1.225,-1.273,0.474,0.689,0.019,9
Caenorhabditis elegans:EC10:2:Growth,Oncorhynchus mykiss:LC50:4:Mortality,16,2.39209016135146,-2.47143090610788,3.89945048823761,1.63827987222982,0.780698821156624,2.39210384206107,0.994885698333087,3.78932198578905,-2.47144413426028,-4.05834178395043,-0.884546484570143,16,1.23,-1.348,0.442,0.664,0.005,14
Caenorhabditis elegans:EC10:2:Growth,Oncorhynchus mykiss:LC50:2:Mortality,8,1.76312046079018,-1.47795511172419,1.4210827824176,0.729831481403561,0.851133844868735,1.76311666397567,0.822486440952126,2.70374688699922,-1.47795115163567,-2.60276430136852,-0.353138001902813,8,1.297,-0.992,0.659,0.812,0.014,6
