CAS,Chem.Name,Latin.name,Effect.value,Standard.Error,Test_statistic,Strain,Test.type,Duration.h,Group
94757,"2,4-D",Caenorhabditis elegans,176.4455577,NA,EC10,CB4856,NA,NA,NEMATODE
94757,"2,4-D",Caenorhabditis elegans,131.3332804,NA,EC10,ECA248,NA,NA,NEMATODE
94757,"2,4-D",Caenorhabditis elegans,147.7526366,NA,EC10,ECA36,NA,NA,NEMATODE
94757,"2,4-D",Caenorhabditis elegans,111.1049017,NA,EC10,ECA396,NA,NA,NEMATODE
94757,"2,4-D",Caenorhabditis elegans,141.0342609,NA,EC10,MY16,NA,NA,NEMATODE
94757,"2,4-D",Caenorhabditis elegans,125.7037611,NA,EC10,PD1074,NA,NA,NEMATODE
94757,"2,4-D",Caenorhabditis elegans,132.4834985,NA,EC10,RC301,NA,NA,NEMATODE
94757,"2,4-D",Caenorhabditis elegans,161.6808549,NA,EC10,XZ1516,NA,NA,NEMATODE
116063,Aldicarb,Caenorhabditis elegans,21.83710817,NA,EC10,CB4856,NA,NA,NEMATODE
116063,Aldicarb,Caenorhabditis elegans,15.93370953,NA,EC10,ECA248,NA,NA,NEMATODE
116063,Aldicarb,Caenorhabditis elegans,22.44478937,NA,EC10,ECA36,NA,NA,NEMATODE
116063,Aldicarb,Caenorhabditis elegans,19.18496462,NA,EC10,ECA396,NA,NA,NEMATODE
116063,Aldicarb,Caenorhabditis elegans,10.87998209,NA,EC10,MY16,NA,NA,NEMATODE
116063,Aldicarb,Caenorhabditis elegans,18.23377815,NA,EC10,PD1074,NA,NA,NEMATODE
116063,Aldicarb,Caenorhabditis elegans,13.82745908,NA,EC10,RC301,NA,NA,NEMATODE
116063,Aldicarb,Caenorhabditis elegans,24.91119776,NA,EC10,XZ1516,NA,NA,NEMATODE
1912249,Atrazine,Caenorhabditis elegans,80.04472339,NA,EC10,CB4856,NA,NA,NEMATODE
1912249,Atrazine,Caenorhabditis elegans,105.5222732,NA,EC10,ECA248,NA,NA,NEMATODE
1912249,Atrazine,Caenorhabditis elegans,85.09586229,NA,EC10,ECA36,NA,NA,NEMATODE
1912249,Atrazine,Caenorhabditis elegans,81.92260939,NA,EC10,ECA396,NA,NA,NEMATODE
1912249,Atrazine,Caenorhabditis elegans,88.92823023,NA,EC10,MY16,NA,NA,NEMATODE
1912249,Atrazine,Caenorhabditis elegans,109.2878311,NA,EC10,PD1074,NA,NA,NEMATODE
1912249,Atrazine,Caenorhabditis elegans,80.12525112,NA,EC10,RC301,NA,NA,NEMATODE
1912249,Atrazine,Caenorhabditis elegans,95.5265183,NA,EC10,XZ1516,NA,NA,NEMATODE
10108642,Cadmium chloride,Caenorhabditis elegans,4.880159799,NA,EC10,CB4856,NA,NA,NEMATODE
10108642,Cadmium chloride,Caenorhabditis elegans,3.768791259,NA,EC10,ECA248,NA,NA,NEMATODE
10108642,Cadmium chloride,Caenorhabditis elegans,6.454006985,NA,EC10,ECA36,NA,NA,NEMATODE
10108642,Cadmium chloride,Caenorhabditis elegans,6.384807746,NA,EC10,ECA396,NA,NA,NEMATODE
10108642,Cadmium chloride,Caenorhabditis elegans,5.418430226,NA,EC10,MY16,NA,NA,NEMATODE
10108642,Cadmium chloride,Caenorhabditis elegans,6.006352244,NA,EC10,PD1074,NA,NA,NEMATODE
10108642,Cadmium chloride,Caenorhabditis elegans,5.853858221,NA,EC10,RC301,NA,NA,NEMATODE
10108642,Cadmium chloride,Caenorhabditis elegans,5.530801644,NA,EC10,XZ1516,NA,NA,NEMATODE
63252,Carbaryl,Caenorhabditis elegans,45.4278174,NA,EC10,CB4856,NA,NA,NEMATODE
63252,Carbaryl,Caenorhabditis elegans,52.26957779,NA,EC10,ECA248,NA,NA,NEMATODE
63252,Carbaryl,Caenorhabditis elegans,58.8746967,NA,EC10,ECA36,NA,NA,NEMATODE
63252,Carbaryl,Caenorhabditis elegans,26.85158678,NA,EC10,ECA396,NA,NA,NEMATODE
63252,Carbaryl,Caenorhabditis elegans,27.18700692,NA,EC10,MY16,NA,NA,NEMATODE
63252,Carbaryl,Caenorhabditis elegans,61.03458193,NA,EC10,PD1074,NA,NA,NEMATODE
63252,Carbaryl,Caenorhabditis elegans,37.74572481,NA,EC10,RC301,NA,NA,NEMATODE
63252,Carbaryl,Caenorhabditis elegans,34.27567468,NA,EC10,XZ1516,NA,NA,NEMATODE
5234684,Carboxin,Caenorhabditis elegans,57.48578712,NA,EC10,CB4856,NA,NA,NEMATODE
5234684,Carboxin,Caenorhabditis elegans,63.23004895,NA,EC10,ECA248,NA,NA,NEMATODE
5234684,Carboxin,Caenorhabditis elegans,88.6154896,NA,EC10,ECA36,NA,NA,NEMATODE
5234684,Carboxin,Caenorhabditis elegans,74.80496685,NA,EC10,ECA396,NA,NA,NEMATODE
5234684,Carboxin,Caenorhabditis elegans,61.6740388,NA,EC10,MY16,NA,NA,NEMATODE
5234684,Carboxin,Caenorhabditis elegans,81.25935159,NA,EC10,PD1074,NA,NA,NEMATODE
5234684,Carboxin,Caenorhabditis elegans,66.2619575,NA,EC10,RC301,NA,NA,NEMATODE
5234684,Carboxin,Caenorhabditis elegans,66.86084169,NA,EC10,XZ1516,NA,NA,NEMATODE
2921882,Chlorpyrifos,Caenorhabditis elegans,1.171597685,NA,EC10,CB4856,NA,NA,NEMATODE
2921882,Chlorpyrifos,Caenorhabditis elegans,1.370369273,NA,EC10,ECA248,NA,NA,NEMATODE
2921882,Chlorpyrifos,Caenorhabditis elegans,0.959360163,NA,EC10,ECA36,NA,NA,NEMATODE
2921882,Chlorpyrifos,Caenorhabditis elegans,0.754842714,NA,EC10,ECA396,NA,NA,NEMATODE
2921882,Chlorpyrifos,Caenorhabditis elegans,0.861664488,NA,EC10,MY16,NA,NA,NEMATODE
2921882,Chlorpyrifos,Caenorhabditis elegans,0.595081872,NA,EC10,PD1074,NA,NA,NEMATODE
2921882,Chlorpyrifos,Caenorhabditis elegans,1.255433587,NA,EC10,RC301,NA,NA,NEMATODE
2921882,Chlorpyrifos,Caenorhabditis elegans,1.544327134,NA,EC10,XZ1516,NA,NA,NEMATODE
8018017,Mancozeb,Caenorhabditis elegans,25.23729451,NA,EC10,CB4856,NA,NA,NEMATODE
8018017,Mancozeb,Caenorhabditis elegans,28.84736742,NA,EC10,ECA248,NA,NA,NEMATODE
8018017,Mancozeb,Caenorhabditis elegans,31.64342754,NA,EC10,ECA36,NA,NA,NEMATODE
8018017,Mancozeb,Caenorhabditis elegans,25.22229766,NA,EC10,ECA396,NA,NA,NEMATODE
8018017,Mancozeb,Caenorhabditis elegans,33.99544415,NA,EC10,MY16,NA,NA,NEMATODE
8018017,Mancozeb,Caenorhabditis elegans,25.09207066,NA,EC10,PD1074,NA,NA,NEMATODE
8018017,Mancozeb,Caenorhabditis elegans,22.4961292,NA,EC10,RC301,NA,NA,NEMATODE
8018017,Mancozeb,Caenorhabditis elegans,41.21928061,NA,EC10,XZ1516,NA,NA,NEMATODE
16752775,Methomyl,Caenorhabditis elegans,1.951809188,NA,EC10,CB4856,NA,NA,NEMATODE
16752775,Methomyl,Caenorhabditis elegans,1.542784892,NA,EC10,ECA248,NA,NA,NEMATODE
16752775,Methomyl,Caenorhabditis elegans,1.726156386,NA,EC10,ECA36,NA,NA,NEMATODE
16752775,Methomyl,Caenorhabditis elegans,1.543669067,NA,EC10,ECA396,NA,NA,NEMATODE
16752775,Methomyl,Caenorhabditis elegans,1.281679602,NA,EC10,MY16,NA,NA,NEMATODE
16752775,Methomyl,Caenorhabditis elegans,1.519817287,NA,EC10,PD1074,NA,NA,NEMATODE
16752775,Methomyl,Caenorhabditis elegans,1.482222916,NA,EC10,RC301,NA,NA,NEMATODE
16752775,Methomyl,Caenorhabditis elegans,1.511647756,NA,EC10,XZ1516,NA,NA,NEMATODE
115093,Methylmercury chloride,Caenorhabditis elegans,0.419253774,NA,EC10,CB4856,NA,NA,NEMATODE
115093,Methylmercury chloride,Caenorhabditis elegans,0.402551623,NA,EC10,ECA248,NA,NA,NEMATODE
115093,Methylmercury chloride,Caenorhabditis elegans,0.424344321,NA,EC10,ECA36,NA,NA,NEMATODE
115093,Methylmercury chloride,Caenorhabditis elegans,0.52982688,NA,EC10,ECA396,NA,NA,NEMATODE
115093,Methylmercury chloride,Caenorhabditis elegans,0.429615056,NA,EC10,MY16,NA,NA,NEMATODE
115093,Methylmercury chloride,Caenorhabditis elegans,0.480939305,NA,EC10,PD1074,NA,NA,NEMATODE
115093,Methylmercury chloride,Caenorhabditis elegans,0.795419083,NA,EC10,RC301,NA,NA,NEMATODE
115093,Methylmercury chloride,Caenorhabditis elegans,0.736899858,NA,EC10,XZ1516,NA,NA,NEMATODE
7718549,Nickel chloride,Caenorhabditis elegans,6.683327973,NA,EC10,CB4856,NA,NA,NEMATODE
7718549,Nickel chloride,Caenorhabditis elegans,7.824608852,NA,EC10,ECA248,NA,NA,NEMATODE
7718549,Nickel chloride,Caenorhabditis elegans,8.422754487,NA,EC10,ECA36,NA,NA,NEMATODE
7718549,Nickel chloride,Caenorhabditis elegans,6.892834846,NA,EC10,ECA396,NA,NA,NEMATODE
7718549,Nickel chloride,Caenorhabditis elegans,6.394828732,NA,EC10,MY16,NA,NA,NEMATODE
7718549,Nickel chloride,Caenorhabditis elegans,8.318431439,NA,EC10,PD1074,NA,NA,NEMATODE
7718549,Nickel chloride,Caenorhabditis elegans,11.42278526,NA,EC10,RC301,NA,NA,NEMATODE
7718549,Nickel chloride,Caenorhabditis elegans,13.8340093,NA,EC10,XZ1516,NA,NA,NEMATODE
1910425,Paraquat,Caenorhabditis elegans,9.044958895,NA,EC10,CB4856,NA,NA,NEMATODE
1910425,Paraquat,Caenorhabditis elegans,5.473853379,NA,EC10,ECA248,NA,NA,NEMATODE
1910425,Paraquat,Caenorhabditis elegans,10.10962757,NA,EC10,ECA36,NA,NA,NEMATODE
1910425,Paraquat,Caenorhabditis elegans,5.756094289,NA,EC10,ECA396,NA,NA,NEMATODE
1910425,Paraquat,Caenorhabditis elegans,9.087771114,NA,EC10,MY16,NA,NA,NEMATODE
1910425,Paraquat,Caenorhabditis elegans,7.924516214,NA,EC10,PD1074,NA,NA,NEMATODE
1910425,Paraquat,Caenorhabditis elegans,5.919155342,NA,EC10,RC301,NA,NA,NEMATODE
1910425,Paraquat,Caenorhabditis elegans,5.049255633,NA,EC10,XZ1516,NA,NA,NEMATODE
114261,Propoxur,Caenorhabditis elegans,68.05875801,NA,EC10,CB4856,NA,NA,NEMATODE
114261,Propoxur,Caenorhabditis elegans,42.51442189,NA,EC10,ECA248,NA,NA,NEMATODE
114261,Propoxur,Caenorhabditis elegans,58.21666228,NA,EC10,ECA36,NA,NA,NEMATODE
114261,Propoxur,Caenorhabditis elegans,43.44980418,NA,EC10,ECA396,NA,NA,NEMATODE
114261,Propoxur,Caenorhabditis elegans,60.98770083,NA,EC10,MY16,NA,NA,NEMATODE
114261,Propoxur,Caenorhabditis elegans,23.08804016,NA,EC10,PD1074,NA,NA,NEMATODE
114261,Propoxur,Caenorhabditis elegans,48.20347628,NA,EC10,RC301,NA,NA,NEMATODE
114261,Propoxur,Caenorhabditis elegans,53.92341817,NA,EC10,XZ1516,NA,NA,NEMATODE
175013180,Pyraclostrobin,Caenorhabditis elegans,5.680144302,NA,EC10,CB4856,NA,NA,NEMATODE
175013180,Pyraclostrobin,Caenorhabditis elegans,2.426926689,NA,EC10,ECA248,NA,NA,NEMATODE
175013180,Pyraclostrobin,Caenorhabditis elegans,7.424775826,NA,EC10,ECA36,NA,NA,NEMATODE
175013180,Pyraclostrobin,Caenorhabditis elegans,3.658512558,NA,EC10,ECA396,NA,NA,NEMATODE
175013180,Pyraclostrobin,Caenorhabditis elegans,3.919242061,NA,EC10,MY16,NA,NA,NEMATODE
175013180,Pyraclostrobin,Caenorhabditis elegans,7.209350484,NA,EC10,PD1074,NA,NA,NEMATODE
175013180,Pyraclostrobin,Caenorhabditis elegans,5.68048437,NA,EC10,RC301,NA,NA,NEMATODE
175013180,Pyraclostrobin,Caenorhabditis elegans,4.644093573,NA,EC10,XZ1516,NA,NA,NEMATODE
